Prov/Kota/Kab,Bulan,Pendapatan,Belanja Daerah
Provinsi Jambi,1,217183594840,58954156206
Provinsi Jambi,2,488974688030,126488287830
Provinsi Jambi,3,754179931337,259787780419
Provinsi Jambi,4,886907305752,401934980679
Provinsi Jambi,5,1016829899964,848950215993
Provinsi Jambi,6,1823085365483,1537521735492
Provinsi Jambi,7,1980481975129,1785001902415
Provinsi Jambi,8,2518067665996,2150722343266
Provinsi Jambi,9,3150168683630,2416984212564
Provinsi Jambi,10,3679747881864,2788499771570
Provinsi Jambi,11,4060558158266,3140740159242
Provinsi Jambi,12,4725724403283,4376358062778
Kota Jambi,1,166780107992,59412967028
Kota Jambi,2,182097916980,70252124710
Kota Jambi,3,267405621973,161661602180
Kota Jambi,4,375284584763,278860437427
Kota Jambi,5,526175576945,434510731653
Kota Jambi,6,745105503913,549735824270
Kota Jambi,7,850658082465,715719884049
Kota Jambi,8,930546727122,871864305033
Kota Jambi,9,1153750706995,1018569391266
Kota Jambi,10,1267706431400,1150493864097
Kota Jambi,11,1521877289867,1387633133417
Kota Jambi,12,1664884720137,1743398104156
Muaro Jambi,1,,
Muaro Jambi,2,,
Muaro Jambi,3,,
Muaro Jambi,4,,
Muaro Jambi,5,,
Muaro Jambi,6,,
Muaro Jambi,7,,
Muaro Jambi,8,,
Muaro Jambi,9,,
Muaro Jambi,10,,
Muaro Jambi,11,,
Muaro Jambi,12,,
Batanghari,1,,
Batanghari,2,,
Batanghari,3,,
Batanghari,4,,
Batanghari,5,,
Batanghari,6,,
Batanghari,7,,
Batanghari,8,,
Batanghari,9,,
Batanghari,10,,
Batanghari,11,,
Batanghari,12,,
Tanjung Jabung Timur,1,,
Tanjung Jabung Timur,2,,
Tanjung Jabung Timur,3,,
Tanjung Jabung Timur,4,,
Tanjung Jabung Timur,5,,
Tanjung Jabung Timur,6,,
Tanjung Jabung Timur,7,,
Tanjung Jabung Timur,8,,
Tanjung Jabung Timur,9,,
Tanjung Jabung Timur,10,,
Tanjung Jabung Timur,11,,
Tanjung Jabung Timur,12,,
Tanjung Jabung Barat,1,,
Tanjung Jabung Barat,2,,
Tanjung Jabung Barat,3,,
Tanjung Jabung Barat,4,,
Tanjung Jabung Barat,5,,
Tanjung Jabung Barat,6,,
Tanjung Jabung Barat,7,,
Tanjung Jabung Barat,8,,
Tanjung Jabung Barat,9,,
Tanjung Jabung Barat,10,,
Tanjung Jabung Barat,11,,
Tanjung Jabung Barat,12,,
Sarolangun,1,,
Sarolangun,2,,
Sarolangun,3,,
Sarolangun,4,,
Sarolangun,5,,
Sarolangun,6,,
Sarolangun,7,,
Sarolangun,8,,
Sarolangun,9,,
Sarolangun,10,,
Sarolangun,11,,
Sarolangun,12,,
Merangin,1,,
Merangin,2,,
Merangin,3,,
Merangin,4,,
Merangin,5,,
Merangin,6,,
Merangin,7,,
Merangin,8,,
Merangin,9,,
Merangin,10,,
Merangin,11,,
Merangin,12,,
Tebo,1,,
Tebo,2,,
Tebo,3,,
Tebo,4,,
Tebo,5,,
Tebo,6,,
Tebo,7,,
Tebo,8,,
Tebo,9,,
Tebo,10,,
Tebo,11,,
Tebo,12,,
Bungo,1,,
Bungo,2,,
Bungo,3,,
Bungo,4,,
Bungo,5,,
Bungo,6,,
Bungo,7,,
Bungo,8,,
Bungo,9,,
Bungo,10,,
Bungo,11,,
Bungo,12,,
Kerinci,1,,
Kerinci,2,,
Kerinci,3,,
Kerinci,4,,
Kerinci,5,,
Kerinci,6,,
Kerinci,7,,
Kerinci,8,,
Kerinci,9,,
Kerinci,10,,
Kerinci,11,,
Kerinci,12,,
Sungai Penuh,1,,
Sungai Penuh,2,,
Sungai Penuh,3,,
Sungai Penuh,4,,
Sungai Penuh,5,,
Sungai Penuh,6,,
Sungai Penuh,7,,
Sungai Penuh,8,,
Sungai Penuh,9,,
Sungai Penuh,10,,
Sungai Penuh,11,,
Sungai Penuh,12,,
