SATKER,UP,Pagu,PAGU52,PAGU53,REAL,REAL52,REAL53,RATA2HARIGUP,RATA2KALIGUPBLN,REALGU
431102,210000000,73364554000,36769599000,8931793000,36784831531,17864486494,4219495700,25,2,795403470
7229,30000000,5199371000,1466700000,7000000,3120129782,562787000,0,10,2,446587000
498592,120000000,410953717000,35248906000,375603132000,112857887643,17261017976,95539868830,20,3,761962138
119129,100000000,25061371000,25061371000,0,9580302150,9580302150,0,37,7,232840200
408816,9000000,315000000,315000000,0,219814500,219814500,0,19,3,35535500
631118,48000000,253912108000,177043382000,76868726000,115842293467,57001491568,58840801899,20,3,296618721
685695,300000000,575403727000,49235629000,191300000,431286684609,27996861450,191300000,7,3,6785932400
403409,10000000,244443000,244443000,0,95922840,95922840,0,22,2,50464000
427310,160000000,14566628000,10963696000,275000000,6112838011,3889397835,273697500,28,3,769959742
400944,60000000,8749455000,5249427000,99028000,4696853575,2901068378,67289000,12,2,521568328
632160,300000000,120169407000,43406093000,29490658000,35449391690,11281858329,399065929,25,1,1284342988
110808,75000000,7378542000,4487200000,1433000000,5077040844,2634507011,1352860000,15,2,733853511
410382,72000000,12029655000,5472555000,0,5859224198,1904656889,0,18,2,446125811
418374,39000000,9163495000,1613048000,375000000,6418899210,968666000,363115000,15,2,429000000
418513,20000000,5270384000,1028161000,245238000,2691966097,495117797,129038000,12,2,314437797
449752,120000000,11329222000,3807463000,397834000,6834322670,1666327895,0,16,2,864480970
561541,90000000,10661579000,3159928000,351462000,5486002291,1336018942,0,13,2,1013848740
505786,60000000,15224207000,13880567000,1343640000,8020058802,7066009082,954049720,15,2,628603630
418368,12000000,4566397000,887729000,782000000,2432798628,494437431,350380937,18,3,100683929
419202,60000000,1833685000,1833685000,0,863932958,863932958,0,12,1,602718168
669254,48000000,15715554000,5214803000,0,9735142298,3324835251,0,16,3,395072800
665311,300000000,58075013000,14820883000,916164000,34048655666,7785106965,266611242,29,2,1742036900
652958,60000000,14537592000,9517456000,0,8376667907,5204788073,0,26,1,419008574
656485,30000000,3766326000,1118279000,199226000,1973693057,306909408,0,15,1,263229408
527961,25000000,1719478000,1297015000,244495000,933978256,608327256,233730000,11,3,300096408
536726,50000000,4597383000,1328442000,0,3059732881,624931400,0,12,1,506431400
425369,210000000,25085746000,14975121000,1828000000,17163909588,10131211128,1424096500,15,1,2019104149
650113,19800000,4517989000,900035000,19500000,2265231423,450806862,19468000,21,2,125566612
650112,16800000,2067775000,788860000,32000000,1113395426,429396804,31690000,22,4,112786804
426029,10300000,1197897000,274320000,0,696248994,134586000,0,28,3,60016000
418413,3000000,357356000,187250000,0,185620186,100861500,0,15,1,34221500
409810,72000000,10591423000,5386655000,61382000,5256257654,2081283021,0,21,1,504360285
98991,30000000,5619549000,1339370000,181500000,3153508449,879118164,181325000,8,2,631147078
369600,120000000,15593881000,7387453000,0,6814180787,3421566466,0,24,3,595563497
613455,60000000,13411319000,8189028000,1537105000,5979161279,3450179135,521700000,28,3,197248062
418354,90000000,110036183000,19316036000,14674248000,44802176637,7182449325,528794660,21,3,356155623
683996,60000000,17621429000,13267582000,0,9290892785,6270483666,0,9,2,847794560
641635,600000000,182191900000,47933482000,0,112527740087,23800819424,0,8,1,14031746505
440557,1000000,172960000,55190000,0,89876725,24379100,0,23,3,6629100
498590,87000000,431477039000,52330468000,378946571000,125523850680,20404296863,105082338123,29,3,497145700
110100,400000000,177628052000,177628052000,0,77100017649,77100017649,0,13,3,4896632970
239441,400000000,40800148000,33161105000,1614497000,14017284955,10111916134,269001013,13,2,4639478928
670252,18000000,2933638000,845077000,0,1596727455,182835259,0,22,2,98076859
418458,20000000,27215866000,944486000,82650000,14240491132,395147433,35138850,25,2,105045433
111910,21000000,5192721000,3279949000,1044893000,2627745590,1714141760,387202019,14,3,193003271
237788,90000000,15079783000,8091986000,761120000,8835880280,4322898007,653108000,11,2,1354526039
406463,30000000,5324344000,3386083000,0,3355996783,2262483772,0,12,2,377758666
417641,30600000,8636007000,1864327000,207000000,4134156493,890881041,0,7,1,609562010
440507,10000000,445901000,193270000,0,220098105,84885568,0,25,2,57027568
641677,300000000,75086458000,18916054000,776608000,39912737130,9561809119,481273891,7,3,6600305541
632013,54000000,1746355000,1213802000,150000000,1222461302,425367231,150000000,25,2,344947231
402267,35000000,4167870000,1215072000,10000000,2428809727,754557943,9900000,13,4,407794943
119081,51000000,1059608000,1059608000,0,746916753,746916753,0,17,2,357729003
669055,30000000,7560088000,6018061000,76177000,3359492366,2698288647,0,15,2,249455060
117134,30000000,6906992000,6906992000,0,3219194346,3219194346,0,19,2,297020386
402252,5000000,199500000,199500000,0,174450000,174450000,0,9,1,89950000
666501,15000000,2054716000,778466000,32000000,1180024137,435664303,0,26,1,77166803
666503,51000000,27672762000,1545407000,144000000,18038721921,729326165,61372000,22,1,311451500
672851,15000000,4405499000,2071211000,676595000,1939111643,883098801,44128050,14,3,145896993
674416,20000000,2693296000,491388000,55500000,1199811599,217077500,40495000,19,1,142314500
650833,15000000,43290167000,39570024000,0,18353284549,15505775422,0,20,3,100559770
653705,8000000,734681000,232110000,0,282657893,65446727,0,26,2,32314727
98984,60000000,5141543000,1592832000,91000000,2711876772,999725043,91000000,15,3,631309399
424239,18000000,5885015000,975148000,120000000,3653059353,622599190,119946000,9,3,377995950
418507,7000000,2163892000,813776000,32000000,1219435442,462143938,31925000,10,2,118603894
401833,20000000,2886183000,984940000,0,1566745797,492703250,0,19,4,164278250
402274,10000000,184374000,184374000,0,113548000,113548000,0,26,6,38650000
420033,7900000,848340000,300034000,21950000,452353562,127374000,11300000,29,2,39500000
119234,21000000,22667441000,11226131000,11441310000,5379609394,2327239394,3052370000,23,2,116000000
418353,60000000,8173880000,3875849000,334500000,4439068061,1863592678,330554000,32,4,154649599
408819,12000000,1640277000,1625277000,15000000,561019700,546019700,15000000,22,1,68387500
408820,6000000,214073000,214073000,0,120138800,120138800,0,18,2,46977300
561204,60000000,4057077000,3158450000,0,2191407767,1395899416,0,15,3,365509916
401656,75000000,238731394000,238596234000,135160000,100661673256,100661673256,0,43,5,168744701
621729,120000000,6890351000,2792827000,0,2836410680,1169862707,0,16,2,869262707
408818,120000000,23086115000,6079102000,4746383000,11652576075,2769935601,625875100,31,2,525695030
656528,30000000,2798960000,924315000,0,1310827417,262866946,0,13,3,212325682
119038,7400000,168422000,168422000,0,91748000,91748000,0,28,3,26225000
119040,4500000,183500000,183500000,0,107505800,107505800,0,29,3,16785000
418427,10000000,28203117000,368220000,36000000,14942028750,159550000,35955000,99,12,7500000
560834,120000000,9609672000,4263783000,103388000,4795902244,1805930873,14990000,19,4,689796421
418358,21000000,2153009000,1461260000,0,1209619673,844667745,0,28,5,82019200
418431,24000000,5586592000,1071662000,145350000,3356714638,397553490,135325000,17,3,216028490
652208,30000000,6048572000,3770025000,0,3424760728,1743020212,0,25,2,165844022
403412,3000000,37450000,37450000,0,16275000,16275000,0,20,3,11200000
119036,6000000,552941000,552941000,0,108622966,108622966,0,13,2,61954807
369600,180000000,15593881000,7387453000,0,6814180787,3421566466,0,24,3,595563497
119133,102000000,32323336000,32323336000,0,2459927309,2459927309,0,17,1,654182009
675577,18000000,9888967000,8308538000,438152000,1758960948,1151477553,20600000,17,2,105150519
350172,25000000,1934749000,1934749000,0,185361000,185361000,0,27,3,72077000
119006,10000000,382796000,382796000,0,111066808,111066808,0,14,16,49670000
681508,4000000,6136586000,1455290000,1750000000,2344755701,642465000,102382850,29,8,9995000
418412,5000000,2851536000,165750000,2519823000,1206562623,72001450,1059290464,18,1,40981450
352427,32000000,7000000000,7000000000,0,31824557,31824557,0,23,7,31824557
115134,200000000,11462586000,11462586000,0,650858599,650858599,0,21,4,321599899
418527,1000000,697373000,178150000,0,312270797,87466300,0,15,3,5826050
119004,75000000,1111575000,1111575000,0,611124935,611124935,0,21,3,345157765
119139,25200000,1372740000,1372740000,0,906306330,906306330,0,31,4,60338930
686503,60000000,2343038000,1577414000,0,1261660526,579347000,0,21,2,265441000
484121,30000000,286292000,286292000,0,95417925,95417925,0,27,6,36022225
402243,2800000,111340000,111340000,0,50100000,50100000,0,5,3,2300000
110060,100000000,1081524000,1081524000,0,516484047,516484047,0,31,5,356225547
119232,160000000,29756810000,29756810000,0,16087178185,16087178185,0,18,3,853692945
119022,100000000,2371597000,2371597000,0,899953584,899953584,0,21,2,398893584
119039,6700000,303550000,303550000,0,163875200,163875200,0,12,3,59993000
119137,470000000,29462430000,29462430000,0,9361416969,9361416969,0,10,2,1159326500
418523,18000000,10308977000,1805790000,1750000000,5092972338,798298499,497012300,17,2,154815603
406401,72000000,14625943000,10753395000,0,7841315448,5423057405,0,13,3,753966856
406494,45000000,9816496000,5461321000,0,5450292230,2802257227,0,11,2,626426693
553792,30000000,3550824000,794243000,118727000,2056627031,362957000,108538000,18,3,268479000
401836,10000000,3568715000,1046563000,0,2123253337,567050000,0,16,3,100000000
406457,36000000,15243806000,11168219000,0,9230095089,6598239134,0,15,2,431929500
99229,24000000,390180000,390180000,0,224209900,224209900,0,17,1,216209900
682892,60000000,1939726000,1933376000,6350000,901317615,901317615,0,15,2,555927615
656574,15000000,3183354000,958506000,0,1785243641,300503644,0,18,1,142346644
650130,15000000,2214614000,765890000,361730000,1334739644,467756000,321700000,11,2,218496000
650132,15000000,12005750000,533406000,66000000,5761223396,233176000,54618000,15,2,144484000
410291,90000000,11506971000,6164177000,162477000,5632371086,2461778201,75185300,13,2,1041299622
440559,2000000,571233000,142150000,0,351392198,70071500,0,14,1,19971500
401946,20000000,30819119000,927824000,27771349000,2354652634,453537844,723693301,13,1,262886295
634530,30000000,1439194000,1191434000,0,814437291,691232291,0,12,2,383551543
428227,48000000,13551306000,8098510000,0,7833437251,3842206587,0,21,1,352957449
631158,36000000,3065404000,2865404000,100000000,1221196427,1214716427,0,21,3,213274858
652190,45000000,7096438000,2397554000,2457733000,2903603029,1337745561,0,21,3,323452561
641482,3608400,10971103000,3457160000,0,6172771563,1763869032,0,15,3,33678400
408816,9000000,315000000,315000000,0,219814500,219814500,0,19,3,35535500
352639,300000000,28236181000,8318106000,0,22099330468,4981545550,0,8,2,3897700450
678359,24000000,5465228000,1638601000,0,3248211791,786248000,0,14,4,216820000
685742,300000000,145934223000,1227312000,113166205000,57671625536,704113659,38610687950,#N/A,#N/A,#N/A
418509,33000000,33956654000,2369362000,258650000,16770924415,1243813000,248155000,17,3,330000000
401943,34800000,26641067000,1051444000,23538000000,3302253044,512088721,1099117347,17,2,312379497
403847,180000000,208432127000,104689881000,82236741000,105191604628,46409393786,46959734972,21,2,1177909828
418352,90000000,13262274000,5527812000,1215041000,7114572221,2152470532,148432000,21,2,440792484
7119,120000000,22362961000,3188591000,207000000,12396144754,1350151457,0,28,2,673032186
682562,120000000,15958144000,5716253000,25000000,9004325600,2414187708,0,10,3,1608488597
641660,300000000,62658628000,16322571000,0,36933116382,7086995596,0,9,2,5346350150
622372,150000000,16209129000,7439281000,1600000000,8260051862,3977119627,450167554,15,1,1528395603
597516,10200000,2915978000,519950000,35500000,1456235732,249050000,35477000,19,3,91600000
597558,15000000,1733771000,465470000,27200000,969557773,243758000,15000000,20,2,125108000
641571,33000000,98712647000,62870634000,30227700000,36255128982,25915364574,7155747775,11,4,433773700
418896,18000000,1260214000,684778000,32000000,779607577,405352463,32000000,22,1,121952463
111805,20000000,4328742000,594285000,61000000,2508264536,266524000,59524000,19,3,159619000
401944,30000000,29325014000,1076688000,25475636000,3238858460,635524418,880299093,10,3,396349511
426050,36800000,6686953000,897172000,111210000,3639627695,404910000,108210000,30,2,220800000
641681,400000000,74095791000,18880388000,746000000,38697340127,9304817820,323822290,9,2,6517670848
408817,12000000,205710000,205710000,0,109130700,109130700,0,20,2,66515800
418357,10800000,3124919000,2086720000,0,1914645715,1403044000,0,70,10,10700000
641614,60000000,21315823000,10254301000,1685949000,11472119480,6022773094,212333873,19,2,448836346
352638,300000000,24745086000,8199685000,0,19905662759,3140554039,0,15,6,2896452639
413293,180000000,44302886000,23607300000,2591141000,21749905012,10390626997,1194936200,15,2,1250508412
431142,48000000,9336655000,8020096000,44115000,2503421109,1714069624,20965000,16,2,357471302
662110,18000000,3453866000,398886000,87100000,1859898566,161868370,48911250,29,1,98419620
700147,90000000,16892484000,4689105000,50000000,8307655651,2169911917,47200000,18,3,759166928
683589,60000000,18405787000,13842184000,0,12085351116,9130578565,0,7,2,1456122789
402273,42000000,4938056000,1310360000,10000000,2600145370,675725546,10000000,21,2,311956546
402639,13000000,153000000,153000000,0,107630000,107630000,0,19,3,107630000
119770,300000000,22643393000,13075863000,109070000,15901614712,9164909409,109057500,11,2,4327427442
98938,90000000,27638082000,4059302000,280000000,17767097336,2414218627,279000000,15,2,709981110
650114,16200000,10128619000,816009000,186000000,4902535204,330926252,85220000,28,2,76874252
574370,15000000,2105071000,697278000,58800000,1067596367,325588000,33000000,16,2,159856000
553125,30000000,4662277000,925706000,109150000,2564222928,428175939,109102000,13,2,322125939
686502,60000000,2059227000,1566579000,0,1006156872,578754149,0,46,14,94419960
119028,60000000,1440000000,1440000000,0,647901100,647901100,0,23,4,360000000
656549,24000000,3243423000,926384000,0,1839287387,263764312,0,15,2,172386312
641499,120000000,24527803000,12320657000,125000000,14943871387,6757068900,124500000,10,2,1882670900
656528,15000000,2798960000,924315000,0,1310827417,262866946,0,13,3,212325682
663212,4000000,175700000,175700000,0,88918400,88918400,0,23,2,25962100
440555,950,313656000,44470000,23560000,180348892,22900000,23560000,28,9,4750000
402638,60000000,3857212000,1263012000,10000000,2607426647,836971044,10000000,18,1,494103044
641600,23000000,3950827000,1284695000,0,2269221297,830407000,0,22,3,150795000
662127,50000000,2734647000,978242000,125000000,1489362492,485752310,125000000,26,4,254432310
110098,10000000,450000000,450000000,0,61703300,61703300,0,23,1,53303300
440551,10000000,2182420000,735930000,32000000,1348991294,471945130,32000000,15,4,110076700
401945,24000000,25065176000,937029000,22104293000,2780372815,529973182,1080746492,15,2,286833274
641698,300000000,50077448000,14574164000,0,31365998485,8589422910,0,10,3,5395631000
7102,180000000,81935746000,9377189000,42000000,41847289720,2697363698,34900000,27,1,931834303
98970,40000000,6857603000,2040923000,114000000,4279822186,1321102522,79238000,11,1,676141122
653108,30000000,3503481000,1784125000,100000000,2084966847,757601555,19242630,9,1,599081555
418399,36000000,8756173000,1602707000,170020000,5813027134,1177890551,100000000,19,2,324000000
497733,42000000,12824015000,7067434000,170000000,7119264355,3564337420,86836500,28,2,174602452
656532,45000000,3407932000,1064748000,0,1767616222,202404535,0,27,5,202404535
656560,24000000,2644398000,972493000,0,1213770350,275185799,0,15,2,234565799
723010,180000000,174577397000,8402188000,398040000,93879729755,3901776113,397178090,16,1,1113134916
